Date,SPY,TSLA,BABA,AMZN
2016-08-22,218.53,222.93,95.65,759.48
2016-08-23,218.97,224.84,95.79,762.45
2016-08-24,217.85,222.62,93.88,757.25
2016-08-25,217.7,220.96,93.94,759.22
2016-08-26,217.29,219.99,95.06,769.0
2016-08-29,218.36,215.2,94.88,771.29
2016-08-30,218.0,211.34,96.0,767.58
2016-08-31,217.38,212.01,97.19,769.16
2016-09-01,217.39,200.77,97.42,770.62
2016-09-02,218.37,197.78,99.25,772.44
2016-09-06,219.03,202.83,103.78,788.87
2016-09-07,219.01,201.71,102.32,784.48
2016-09-08,218.51,197.36,102.57,784.06
2016-09-09,213.28,194.47,99.62,760.14
2016-09-12,216.34,198.3,100.8,771.49
2016-09-13,213.23,196.05,100.28,761.01
2016-09-14,213.15,196.41,102.4,761.09
2016-09-15,215.28,200.42,104.45,769.69
2016-09-16,213.37,205.4,104.64,778.52
2016-09-19,213.41,206.34,103.03,775.1
2016-09-20,213.42,204.64,101.45,780.22
2016-09-21,215.82,205.22,106.0,789.74
2016-09-22,217.18,206.43,109.36,804.7
2016-09-23,215.99,207.45,107.71,805.75
2016-09-26,214.24,208.99,105.89,799.16
2016-09-27,215.57,205.81,108.26,816.11
2016-09-28,216.64,206.27,108.75,828.72
2016-09-29,214.68,200.7,105.55,829.05
2016-09-30,216.3,204.03,105.79,837.31
2016-10-03,215.78,213.7,105.38,836.74
2016-10-04,214.68,211.41,105.45,834.03
2016-10-05,215.63,208.46,106.96,844.36
2016-10-06,215.78,201.0,107.08,841.66
2016-10-07,215.04,196.61,106.0,839.43
2016-10-10,216.16,200.95,108.41,841.71
2016-10-11,213.43,200.1,105.23,831.0
2016-10-12,213.71,201.51,103.62,834.09
2016-10-13,213.01,200.24,102.15,829.28
2016-10-14,213.12,196.51,101.85,822.96
2016-10-17,212.38,193.96,102.84,812.95
2016-10-18,213.71,199.1,103.34,817.65
2016-10-19,214.28,203.56,103.93,817.69
2016-10-20,213.88,199.1,103.85,810.32
2016-10-21,213.98,200.09,103.94,818.99
2016-10-24,214.89,202.76,104.5,838.09
2016-10-25,214.17,202.34,104.22,835.18
2016-10-26,213.74,202.24,102.78,822.59
2016-10-27,213.17,204.01,102.38,818.36
2016-10-28,212.54,199.97,101.93,776.32
2016-10-31,212.55,197.73,101.69,789.82
2016-11-01,211.01,190.79,101.15,785.41
2016-11-02,209.74,188.02,98.51,765.56
2016-11-03,208.78,187.42,97.75,767.03
2016-11-04,208.55,190.56,97.57,755.05
2016-11-07,213.15,193.21,99.35,784.93
2016-11-08,214.11,194.94,99.85,787.75
2016-11-09,216.38,190.06,96.67,771.88
2016-11-10,216.92,185.35,94.34,742.38
2016-11-11,216.42,188.56,92.99,739.01
2016-11-14,216.59,181.45,89.77,719.07
2016-11-15,218.28,183.77,91.0,743.24
2016-11-16,217.87,183.93,92.86,746.49
2016-11-17,218.99,188.66,94.07,756.4
2016-11-18,218.5,185.02,93.39,760.16
2016-11-21,220.15,184.52,93.41,780.0
2016-11-22,220.58,191.17,93.21,785.33
2016-11-23,220.7,193.14,93.03,780.12
2016-11-25,221.52,196.65,93.01,780.37
2016-11-28,220.48,196.12,93.76,766.77
2016-11-29,220.91,189.57,94.99,762.52
2016-11-30,220.38,189.4,94.02,750.57
2016-12-01,219.57,181.88,89.86,743.65
2016-12-02,219.68,181.47,90.48,740.34
2016-12-05,221.0,186.8,90.99,759.36
2016-12-06,221.7,185.85,90.4,764.72
2016-12-07,224.6,193.15,91.07,770.42
2016-12-08,225.15,192.29,92.31,767.33
2016-12-09,226.51,192.18,93.28,768.66
2016-12-12,226.25,192.43,92.47,760.12
2016-12-13,227.76,198.15,92.16,774.34
2016-12-14,225.88,198.69,91.19,768.82
2016-12-15,226.81,197.58,88.85,761.0
2016-12-16,225.04,202.49,88.67,757.77
